(Simbolo especial,#)
(Identficador, include)
(Menor que, < )
(Identficador, stdio.h)
(Mayor que,>)
(Palabra Reservada, main)
(Parentesis abierto, ( )
(Parentesis cerrado, ) )
(Llave abierta, { )
(Palabra Reservada, int)
(Identficador, n)
(Punto y coma, ; )
(Palabra Reservada, int)
(Identficador, a)
(Asignacion, = )
(Identficador, 0)
(Punto y coma, ; )
(Palabra Reservada, printf)
(Parentesis abierto, ( )
(Comillas, " )
(Palabra Reservada, Enter_an_integer)
(Barra Invertida, \ )
(Identficador, n)
(Comillas, " )
(Parentesis cerrado, ) )
(Punto y coma, ; )
(Identficador, scanf)
(Parentesis abierto, ( )
(Comillas, " )
(Porcentaje, % )
(Identficador, d)
(Comillas, " )
(Coma, , )
(Referencia, & )
(Identficador, n)
(Parentesis cerrado, ) )
(Punto y coma, ; )
(Palabra Reservada, if)
(Parentesis abierto, ( )
(Identficador, n)
(Porcentaje, % )
(Identficador, 2)
(Asignacion, = )
(Asignacion, = )
(Identficador, 0)
(Parentesis cerrado, ) )
(Palabra Reservada, printf)
(Parentesis abierto, ( )
(Comillas, " )
(Identficador, Even)
(Barra Invertida, \ )
(Identficador, n)
(Comillas, " )
(Parentesis cerrado, ) )
(Punto y coma, ; )
(Palabra Reservada, else)
(Palabra Reservada, printf)
(Parentesis abierto, ( )
(Comillas, " )
(Identficador, Odd)
(Barra Invertida, \ )
(Identficador, n)
(Comillas, " )
(Parentesis cerrado, ) )
(Punto y coma, ; )
(Identficador, for)
(Parentesis abierto, ( )
(Palabra Reservada, int)
(Identficador, i)
(Asignacion, = )
(Identficador, 0)
(Punto y coma, ; )
(Identficador, i)
(Menor que, < )
(Identficador, 2)
(Punto y coma, ; )
(Identficador, i)
(Operacion, + )
(Operacion, + )
(Parentesis cerrado, ) )
(Palabra Reservada, printf)
(Parentesis abierto, ( )
(Comillas, " )
(Palabra Reservada, Probando)
(Identficador, el)
(Identficador, for)
(Comillas, " )
(Parentesis cerrado, ) )
(Palabra Reservada, return)
(Identficador, 0)
(Punto y coma, ; )
(Palabra Reservada, switch)
(Parentesis abierto, ( )
(Identficador, a)
(Parentesis cerrado, ) )
(llave cerrada, } )
